DAYWEEK,DAYMONTH,DAYYEAR,CANTIDAD_TOTAL
6,11,11,165
7,24,55,11
4,23,23,113
5,17,17,124
3,29,29,142
1,6,,427
1,17,168,10
3,5,156,8
3,30,150,7
2,11,162,10
4,24,144,9
7,5,5,152
7,2,336,9
3,31,,61
5,3,94,246
5,13,,573
3,15,106,186
6,12,132,9
1,27,118,180
5,14,348,16
2,4,,150
3,26,360,8
2,15,135,7
2,19,,393
6,24,236,166
7,23,357,12
1,6,97,175
4,3,123,5
3,8,312,8
7,9,,171
1,20,324,5
1,13,195,35
7,5,309,7
4,4,277,7
5,17,321,4
5,19,171,197
1,20,20,198
2,7,189,62
3,10,283,4
4,23,327,4
4,25,177,191
7,22,203,7
4,20,171,10
1,5,64,3
2,27,239,118
5,14,165,11
7,23,,175
5,24,115,176
6,25,,389
6,9,40,11
4,2,2,138
5,15,46,11
3,5,339,13
4,30,121,178
7,27,147,5
6,8,342,11
6,13,13,3
2,21,112,137
5,18,138,8
6,11,,388
3,6,37,14
7,17,76,9
7,18,230,137
3,9,129,6
4,14,,379
7,28,180,220
1,21,,146
4,30,,413
5,9,221,135
6,22,265,5
4,16,198,66
1,1,274,8
2,14,318,9
3,2,,177
3,,,8596
7,23,174,9
4,13,256,11
7,8,,463
3,25,206,9
2,16,168,141
4,8,67,4
5,13,194,12
6,1,244,2
5,19,292,12
1,4,247,6
3,31,304,5
3,10,162,157
6,7,188,9
1,18,49,13
1,18,322,164
2,5,,366
2,25,206,4
2,18,,226
3,13,256,4
6,9,313,126
5,19,19,6
4,14,73,9
1,16,197,6
3,31,31,7
6,23,82,6
7,19,201,88
1,22,112,6
2,26,85,8
1,10,253,9
6,13,286,13
4,1,,128
1,22,22,9
5,28,271,2
6,29,180,7
3,19,262,9
3,10,10,4
7,15,105,13
5,12,,234
6,17,76,9
5,10,192,69
6,3,215,134
6,11,315,6
7,7,159,227
3,29,333,5
3,1,183,79
1,22,,264
1,22,295,7
7,28,28,6
5,3,215,6
6,18,109,194
5,22,265,6
7,2,153,13
1,14,226,4
3,8,8,176
4,10,283,135
3,23,235,3
6,19,292,112
3,27,58,3
2,11,345,14
4,29,333,6
7,16,197,4
5,9,40,3
6,26,,182
4,20,354,14
6,5,217,6
4,15,,115
5,7,188,3
5,30,242,134
3,27,331,158
6,12,,146
6,13,103,18
7,26,26,156
3,1,,376
4,29,,165
4,9,100,146
7,6,126,9
4,2,306,3
6,29,363,14
2,24,114,4
2,28,210,82
3,21,233,119
4,4,94,12
1,26,85,9
2,23,204,34
1,12,224,148
4,,,8732
7,22,,393
5,5,186,39
6,18,230,8
1,9,99,5
4,11,192,69
1,29,210,64
4,2,,416
5,27,300,10
7,12,132,13
1,23,266,154
1,8,,246
7,29,363,187
4,31,,138
5,11,,137
5,15,136,179
1,7,280,128
4,30,150,15
5,24,144,16
3,14,318,5
5,8,342,19
5,11,11,7
6,24,55,9
4,17,17,7
2,26,360,8
2,29,29,8
7,28,118,8
2,4,35,130
6,7,67,163
3,2,2,12
4,15,46,6
5,19,109,7
5,29,,345
7,14,195,39
3,15,,457
7,8,342,164
5,20,354,165
3,18,108,7
6,26,26,10
7,20,20,7
4,13,44,150
3,18,,502
5,26,,256
7,9,40,142
7,21,,266
2,2,183,42
7,24,328,185
6,22,203,11
2,21,141,10
1,23,,492
2,8,220,4
7,10,161,8
2,31,,342
4,17,229,1
5,3,123,15
6,13,,232
1,1,153,124
2,26,177,7
1,5,,107
7,28,301,6
2,8,8,10
5,15,319,152
2,4,247,6
1,23,83,155
6,25,207,57
4,27,58,179
6,20,201,76
6,22,53,134
1,16,289,6
2,17,351,167
4,26,360,178
5,23,82,5
5,1,,371
3,14,73,4
1,7,,146
7,13,13,12
6,7,280,4
2,28,148,12
6,26,238,7
4,12,,558
4,19,200,8
5,10,130,6
3,25,268,100
7,1,182,8
2,,,8482
5,29,88,10
4,3,,149
3,6,310,125
5,10,,448
4,31,31,8
7,17,168,6
4,7,250,5
4,28,362,10
5,8,159,8
1,31,212,5
7,10,,322
1,25,268,3
3,16,,113
5,27,117,9
4,5,65,146
4,13,194,2
3,10,100,6
5,25,298,125
6,14,74,140
2,12,43,10
5,4,4,8
5,28,,197
5,1,152,4
2,4,185,2
7,26,330,6
5,6,340,201
4,15,227,96
6,2,61,11
7,7,188,45
2,6,218,106
6,23,,319
2,3,,452
2,6,37,10
7,15,349,194
1,1,91,11
2,20,,124
7,7,7,4
7,19,139,7
6,14,,443
